Word	Category
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
Bulbasaur	Seed
Charmander	Lizard
Squirtle	Turtle
Jigglypuff	Balloon
Meowth	Cat
Psyduck	Duck
Machop	Superpower
Geodude	Rock
Gengar	Ghost
Eevee	Evolution
Snorlax	Sleeping
Articuno	Ice
Zapdos	Electric
Moltres	Fire
Dratini	Dragon
Mewtwo	Genetic
Wartortle	Turtle
Venusaur	Seed
Charmeleon	Flame
Pikachu	Mouse
